ONSConstID,leavehanretty,Turnout17,Con17,Lab17,ld17,snp17,PC17,UKIP17,Green17,Turnout15,Con15,Lab15,LD15,SNP15,PC15,UKIP15,Green15,Turnout19,con19,lab19,ld19,brexit19,green19,snp19,pc19,Long_term_unemployed,Population_density,Industry_manufacturing,Con10,Lab10,LD10,SNP10,PC10,UKIP10,Green10,BNP10,Turn10,Region
W07000064,0.453701374,0.732870149,0.183745316,0.201599316,0.289662283,0,0.292277517,0.01513818,0.013629391,0.69,0.11,0.097,0.359,0,0.277,0.102,0.056,0.711258114,0.221393841,0.157511532,0.173918464,0.05143997,0.016531605,0,0.379204588,0.0102,0.43,0.0522,0.1156,0.0578,0.5003,0,0.2827,0.0255,0.0182,0,0.648,W92000004
W07000065,0.557690731,0.720651023,0.433727516,0.426286229,0.026210394,0,0.064246273,0.020143612,0,0.708,0.404,0.281,0.019,0,0.062,0.105,0.036,0.711656545,0.504043,0.384709682,0.045804946,0,0,0,0.065442373,0.0145,0.65,0.0701,0.4279,0.3116,0.1454,0,0.0923,0.0229,0,0,0.69,W92000004
W07000066,0.553661948,0.721010843,0.468218633,0.394567328,0.02264008,0,0.093141666,0.021432293,0,0.699,0.437,0.287,0.024,0,0.104,0.116,0.032,0.711890192,0.526736952,0.342831362,0.044165836,0,0,0,0.08626585,0.0134,0.76,0.0709,0.411,0.3265,0.1207,0,0.1045,0.0283,0,0,0.704,W92000004
W07000067,0.537655347,0.732974846,0.262692242,0.297813741,0.022423164,0,0.393063443,0.024007409,0,0.707,0.212,0.242,0.024,0,0.384,0.111,0.028,0.714084188,0.344617336,0.210282425,0,0.056363104,0,0,0.388737135,0.0131,0.46,0.0825,0.2238,0.2648,0.1213,0,0.3564,0.0338,0,0,0.726,W92000004
W07000068,0.517243179,0.737975362,0.485822809,0.177456815,0.291358204,0,0.031426912,0.013935259,0,0.738,0.411,0.147,0.283,0,0.044,0.083,0.031,0.744620652,0.53142622,0.095452455,0.358842179,0,0,0,0,0.0123,0.23,0.069,0.3651,0.1054,0.4616,0,0.0255,0.0226,0.0088,0,0.725,W92000004
W07000069,0.542076298,0.685349612,0.237220844,0.567141178,0.01911976,0,0.139454094,0.037064124,0,0.662,0.153,0.438,0.032,0,0.181,0.164,0.032,0.651482657,0.279763848,0.433126564,0.040401567,0.086625313,0.01980629,0,0.122292959,0.0153,2.78,0.1196,0.1306,0.4626,0.1491,0,0.1993,0.0223,0,0.0362,0.649,W92000004
W07000070,0.569626626,0.619511435,0.193887177,0.610150305,0.018395069,0,0.137601409,0.03996604,0,0.593,0.121,0.477,0.027,0,0.168,0.163,0.026,0.591309109,0.221953962,0.51372536,0.031386427,0.100707766,0,0,0.08473343,0.0212,3.78,0.1285,0.1007,0.5249,0.1379,0,0.203,0.0335,0,0,0.59,W92000004
W07000071,0.584037439,0.604817626,0.181040394,0.667968401,0.0250708,0,0.081681324,0.044239082,0,0.53,0.101,0.539,0.041,0,0.095,0.187,0.018,0.572529385,0.195590151,0.524499163,0.034608944,0.1117658,0,0,0.07585437,0.0266,4.64,0.1499,0.0752,0.4367,0.3102,0,0.0505,0.0272,0,0.0366,0.586,W92000004
W07000072,0.620280444,0.632166631,0.147696393,0.580132164,0.009109437,0,0.212450593,0.030045702,0,0.617,0.108,0.58,0.02,0,0.09,0.179,0.023,0.595577367,0.190244548,0.491809789,0.042522916,0.20566531,0.012773421,0,0.056984017,0.0306,6.42,0.2006,0.0699,0.524,0.1014,0,0.0411,0.0151,0,0.0374,0.618,W92000004
W07000073,0.496508306,0.695585752,0.397942434,0.506600393,0.021246099,0,0.041220668,0.018055716,0,0.658,0.322,0.371,0.042,0,0.071,0.15,0.019,0.667203766,0.430746283,0.40335259,0.056065915,0.042878113,0.019296335,0,0.047660763,0.0165,9.43,0.1167,0.3043,0.3633,0.2258,0,0.0592,0.0209,0,0.0266,0.653,W92000004
W07000074,0.5975247,0.651273523,0.251424578,0.624260832,0.015966025,0,0.075153209,0.033195355,0,0.637,0.159,0.529,0.03,0,0.101,0.154,0.021,0.614612459,0.276829613,0.497372139,0.041254592,0.0845154,0.01754733,0,0.082480927,0.0194,3.68,0.1541,0.1558,0.5381,0.1518,0,0.096,0.0225,0,0.0358,0.624,W92000004
